flow_name,flow_label,retire_index,total_retire,step,cycle,pc,inst,opcode,regwr,rd,rd_data,memwr,mem_addr,mem_data,illegal,stall,redirect,fwdA,fwdB
pipeline_spike,Pipeline TB,176,490,180,235,0x80000048,0x00178793,ALUI,1,15,0x00000004,0,0x00000004,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,177,490,181,236,0x8000004c,0x800006b7,LUI,1,13,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,178,490,182,237,0x80000050,0x13468693,ALUI,1,13,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,179,490,183,238,0x80000054,0x00279793,ALUI,1,15,0x00000010,0,0x00000010,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,180,490,184,239,0x80000058,0x00f687b3,ALUR,1,15,0x80000144,0,0x80000144,0x00000010,0,0,0,0,0
pipeline_spike,Pipeline TB,181,490,185,240,0x8000005c,0x0007a783,LOAD,1,15,0x00000005,0,0x80000144,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,182,490,186,242,0x80000060,0x06e7da63,BRANCH,0,20,0x0000000e,0,0x0000000e,0x00000009,0,0,0,0,0
pipeline_spike,Pipeline TB,183,490,187,243,0x80000064,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,184,490,188,244,0x80000068,0x13478713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,185,490,189,245,0x8000006c,0xfe842783,LOAD,1,15,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,186,490,190,247,0x80000070,0x00279793,ALUI,1,15,0x0000000c,0,0x0000000c,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,187,490,191,248,0x80000074,0x00f707b3,ALUR,1,15,0x80000140,0,0x80000140,0x0000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,188,490,192,249,0x80000078,0x0007a783,LOAD,1,15,0x00000009,0,0x80000140,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,189,490,193,251,0x8000007c,0xfef42223,STORE,0,4,0x8000ffe4,1,0x8000ffe4,0x00000009,0,0,0,0,0
pipeline_spike,Pipeline TB,190,490,194,252,0x80000080,0xfe842783,LOAD,1,15,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,191,490,195,254,0x80000084,0x00178793,ALUI,1,15,0x00000004,0,0x00000004,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,192,490,196,255,0x80000088,0x80000737,LUI,1,14,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,193,490,197,256,0x8000008c,0x13470713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,194,490,198,257,0x80000090,0x00279793,ALUI,1,15,0x00000010,0,0x00000010,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,195,490,199,258,0x80000094,0x00f707b3,ALUR,1,15,0x80000144,0,0x80000144,0x00000010,0,0,0,0,0
pipeline_spike,Pipeline TB,196,490,200,259,0x80000098,0x0007a703,LOAD,1,14,0x00000005,0,0x80000144,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,197,490,201,260,0x8000009c,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,198,490,202,261,0x800000a0,0x13478693,ALUI,1,13,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,199,490,203,262,0x800000a4,0xfe842783,LOAD,1,15,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,200,490,204,264,0x800000a8,0x00279793,ALUI,1,15,0x0000000c,0,0x0000000c,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,201,490,205,265,0x800000ac,0x00f687b3,ALUR,1,15,0x80000140,0,0x80000140,0x0000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,202,490,206,266,0x800000b0,0x00e7a023,STORE,0,0,0x80000140,1,0x80000140,0x00000005,0,0,0,0,0
pipeline_spike,Pipeline TB,203,490,207,267,0x800000b4,0xfe842783,LOAD,1,15,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,204,490,208,269,0x800000b8,0x00178793,ALUI,1,15,0x00000004,0,0x00000004,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,205,490,209,270,0x800000bc,0x80000737,LUI,1,14,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,206,490,210,271,0x800000c0,0x13470713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,207,490,211,272,0x800000c4,0x00279793,ALUI,1,15,0x00000010,0,0x00000010,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,208,490,212,273,0x800000c8,0x00f707b3,ALUR,1,15,0x80000144,0,0x80000144,0x00000010,0,0,0,0,0
pipeline_spike,Pipeline TB,209,490,213,274,0x800000cc,0xfe442703,LOAD,1,14,0x00000009,0,0x8000ffe4,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,210,490,214,276,0x800000d0,0x00e7a023,STORE,0,0,0x80000144,1,0x80000144,0x00000009,0,0,0,0,0
pipeline_spike,Pipeline TB,211,490,215,277,0x800000d4,0xfe842783,LOAD,1,15,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,212,490,216,279,0x800000d8,0x00178793,ALUI,1,15,0x00000004,0,0x00000004,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,213,490,217,280,0x800000dc,0xfef42423,STORE,0,8,0x8000ffe8,1,0x8000ffe8,0x00000004,0,0,0,0,0
