baud_sel,baud_rate,jitter_permille,jitter_percent,nominal_bit_ns,jitter_ns,short_bit_ns,long_bit_ns,short_baud_rate,long_baud_rate,short_baud_error_percent,long_baud_error_percent,passed,xsim_returncode,sim_wall_time_s,failure_reason
1,14400,180,18.0,69444.44444444444,12499.999999999998,56944.44444444444,81944.44444444444,17560.9756097561,12203.389830508475,21.95121951219514,-15.254237288135586,1,0,2.5780213850084692,
1,14400,190,19.0,69444.44444444444,13194.444444444443,56249.99999999999,82638.88888888888,17777.77777777778,12100.840336134455,23.456790123456805,-15.966386554621836,1,0,2.476088985975366,
1,14400,200,20.0,69444.44444444444,13888.888888888889,55555.55555555555,83333.33333333333,18000.000000000004,12000.0,25.00000000000002,-16.666666666666664,1,0,2.4705674329889007,
1,14400,210,21.0,69444.44444444444,14583.333333333332,54861.11111111111,84027.77777777777,18227.848101265823,11900.826446280993,26.582278481012665,-17.355371900826434,1,0,2.476339265005663,
1,14400,220,22.0,69444.44444444444,15277.777777777776,54166.666666666664,84722.22222222222,18461.53846153846,11803.278688524591,28.205128205128194,-18.032786885245887,1,0,2.569629889971111,
1,14400,230,23.0,69444.44444444444,15972.22222222222,53472.22222222222,85416.66666666666,18701.298701298703,11707.317073170732,29.87012987012989,-18.699186991869908,1,0,2.5192804529797286,
1,14400,240,24.0,69444.44444444444,16666.666666666664,52777.777777777774,86111.1111111111,18947.368421052633,11612.903225806454,31.578947368421062,-19.354838709677402,1,0,2.5771206860081293,
1,14400,250,25.0,69444.44444444444,17361.11111111111,52083.33333333333,86805.55555555555,19200.0,11520.000000000002,33.33333333333333,-19.999999999999986,1,0,2.6252792080049403,
1,14400,260,26.0,69444.44444444444,18055.55555555555,51388.88888888889,87499.99999999999,19459.45945945946,11428.571428571431,35.13513513513513,-20.63492063492062,1,0,2.63021958299214,
1,14400,270,27.0,69444.44444444444,18750.0,50694.44444444444,88194.44444444444,19726.027397260277,11338.582677165356,36.98630136986303,-21.259842519685034,1,0,2.546071547025349,
1,14400,280,28.0,69444.44444444444,19444.444444444445,49999.99999999999,88888.88888888888,20000.000000000004,11250.000000000002,38.88888888888891,-21.87499999999999,1,0,2.5055842499714345,
1,14400,290,29.0,69444.44444444444,20138.888888888887,49305.55555555555,89583.33333333333,20281.690140845072,11162.79069767442,40.84507042253522,-22.480620155038757,1,0,2.447074373019859,
1,14400,300,30.0,69444.44444444444,20833.333333333332,48611.11111111111,90277.77777777777,20571.428571428572,11076.923076923078,42.85714285714286,-23.076923076923073,1,0,2.438093119999394,
1,14400,310,31.0,69444.44444444444,21527.777777777777,47916.66666666666,90972.22222222222,20869.565217391308,10992.366412213742,44.927536231884076,-23.664122137404576,1,0,2.4744460210204124,
1,14400,320,32.0,69444.44444444444,22222.22222222222,47222.22222222222,91666.66666666666,21176.470588235297,10909.09090909091,47.0588235294118,-24.24242424242423,1,0,2.51577230298426,
1,14400,330,33.0,69444.44444444444,22916.666666666664,46527.777777777774,92361.1111111111,21492.537313432837,10827.067669172935,49.25373134328359,-24.812030075187952,1,0,2.4464003180037253,
1,14400,340,34.0,69444.44444444444,23611.11111111111,45833.33333333333,93055.55555555555,21818.18181818182,10746.268656716418,51.51515151515154,-25.373134328358205,1,0,2.5373094099923037,
1,14400,350,35.0,69444.44444444444,24305.55555555555,45138.88888888889,93749.99999999999,22153.846153846152,10666.666666666668,53.84615384615383,-25.92592592592592,1,0,2.486186442023609,
